Month,Date_Range,Subah_Fajr,Sunrise,Luhar_Dhuhr,Asr,Magrib,Isha
January,01 – 03,05:03,06:20,12:15,03:35,06:05,07:20
January,04 – 06,05:05,06:22,12:17,03:37,06:07,07:22
January,07 – 08,05:06,06:23,12:18,03:38,06:08,07:23
January,09 – 10,05:07,06:24,12:19,03:39,06:09,07:24
January,11 – 12,05:08,06:25,12:20,03:40,06:10,07:25
January,13 – 15,05:09,06:26,12:20,03:41,06:11,07:26
January,16 – 17,05:10,06:27,12:22,03:43,06:13,07:27
January,18 – 20,05:11,06:28,12:22,03:43,06:14,07:28
January,21 – 25,05:12,06:29,12:23,03:44,06:15,07:29
January,26 – 29,05:12,06:29,12:24,03:46,06:17,07:30
January,30 – 31,05:14,06:30,12:25,03:46,06:18,07:31
February,01 – 06,05:12,06:28,12:26,03:47,06:19,07:31
February,07 – 12,05:12,06:28,12:26,03:47,06:20,07:32
February,13 – 17,05:12,06:28,12:26,03:46,06:21,07:32
February,18 – 24,05:12,06:28,12:26,03:46,06:21,07:32
February,25 – 29,05:10,06:25,12:25,03:44,06:22,07:32
March,01 – 04,05:09,06:24,12:24,03:42,06:22,07:32
March,05 – 09,05:07,06:22,12:23,03:41,06:22,07:32
March,10 – 13,05:05,06:20,12:22,03:38,06:22,07:32
March,14 – 18,05:04,06:19,12:21,03:35,06:22,07:31
March,19 – 20,05:02,06:17,12:20,03:33,06:22,07:31
March,21 – 24,05:00,06:15,12:19,03:31,06:21,07:31
March,25 – 27,04:58,06:13,12:18,03:28,06:21,07:31
March,28 – 30,04:57,06:12,12:17,03:25,06:21,07:30
March,31,04:55,06:10,12:16,03:22,06:20,07:30
April,01 – 02,04:53,06:08,12:16,03:22,06:21,07:31
April,03 – 05,04:52,06:07,12:15,03:20,06:21,07:31
April,06 – 11,04:50,06:05,12:14,03:17,06:20,07:31
April,12 – 14,04:48,06:03,12:13,03:18,06:20,07:31
April,15 – 18,04:46,06:01,12:12,03:20,06:20,07:31
April,19 – 24,04:44,05:59,12:11,03:22,06:20,07:31
April,25 – 29,04:41,05:56,12:10,03:24,06:20,07:31
April,30,04:39,05:54,12:09,03:26,06:20,07:32
May,01 – 03,04:37,05:52,12:09,03:27,06:20,07:32
May,04 – 08,04:36,05:51,12:09,03:28,06:20,07:33
May,09 – 14,04:34,05:49,12:08,03:29,06:21,07:34
May,15 – 19,04:33,05:48,12:08,03:31,06:21,07:35
May,20 – 25,04:32,05:47,12:08,03:33,06:22,07:37
May,26 – 28,04:31,05:46,12:09,03:35,06:23,07:39
May,29 – 31,04:31,05:46,12:09,03:37,06:25,07:41
June,01 – 06,04:30,05:45,12:10,03:39,06:27,07:43
June,07 – 10,04:29,05:44,12:11,03:41,06:28,07:45
June,11 – 14,04:29,05:44,12:11,03:42,06:29,07:46
June,15 – 17,04:30,05:45,12:12,03:42,06:30,07:47
June,18 – 20,04:30,05:45,12:13,03:43,06:31,07:47
June,21 – 25,04:31,05:46,12:14,03:44,06:32,07:48
June,26 – 30,04:32,05:47,12:15,03:45,06:33,07:50
July,01 – 06,04:33,05:48,12:16,03:45,06:33,07:49
July,07 – 10,04:35,05:50,12:17,03:46,06:34,07:50
July,11 – 18,04:37,05:52,12:17,03:46,06:34,07:50
July,19 – 23,04:39,05:54,12:18,03:45,06:34,07:49
July,24 – 29,04:40,05:55,12:18,03:44,06:33,07:48
July,30 – 31,04:41,05:56,12:18,03:42,06:33,07:46
August,01 – 04,04:43,05:58,12:18,03:40,06:32,07:45
August,05 – 09,04:42,05:57,12:18,03:39,06:30,07:44
August,10 – 14,04:44,05:59,12:17,03:36,06:28,07:41
August,15 – 19,04:45,06:00,12:16,03:32,06:27,07:39
August,20 – 23,04:45,06:00,12:15,03:29,06:25,07:37
August,24 – 26,04:45,06:00,12:14,03:26,06:23,07:35
August,27 – 29,04:46,06:01,12:13,03:23,06:22,07:33
August,30 – 31,04:46,06:01,12:13,03:20,06:20,07:31
September,01,04:49,06:04,12:12,03:17,06:19,07:30
September,02 – 04,04:49,06:04,12:12,03:17,06:19,07:29
September,05 – 08,04:49,06:04,12:11,03:14,06:17,07:28
September,09 – 11,04:48,06:03,12:09,03:14,06:15,07:26
September,12 – 14,04:48,06:03,12:08,03:15,06:14,07:24
September,15 – 17,04:47,06:02,12:07,03:15,06:12,07:22
September,18 – 22,04:47,06:02,12:06,03:16,06:10,07:20
September,23 – 26,04:46,06:01,12:04,03:17,06:08,07:18
September,27 – 30,04:46,06:01,12:03,03:17,06:06,07:15
October,01 – 02,04:44,05:59,12:02,03:16,06:03,07:12
October,03 – 06,04:43,05:58,12:01,03:16,06:01,07:11
October,07 – 08,04:42,05:57,12:00,03:16,05:59,07:09
October,09 – 13,04:42,05:57,11:59,03:16,05:58,07:08
October,14 – 16,04:41,05:56,11:58,03:16,05:56,07:06
October,17 – 22,04:41,05:56,11:57,03:16,05:55,07:05
October,23 – 31,04:41,05:56,11:56,03:17,05:53,07:04
November,01 – 07,04:43,05:58,11:56,03:16,05:50,07:02
November,08 – 15,04:43,05:58,11:56,03:17,05:49,07:01
November,16 – 21,04:44,05:59,11:57,03:18,05:49,07:02
November,22 – 24,04:45,06:00,11:58,03:19,05:50,07:03
November,25 – 27,04:47,06:02,11:59,03:20,05:50,07:04
November,28 – 30,04:47,06:02,12:00,03:21,05:51,07:05
December,01 – 03,04:49,06:04,12:01,03:22,05:52,07:06
December,04 – 06,04:50,06:05,12:02,03:23,05:53,07:07
December,07 – 09,04:51,06:06,12:04,03:24,05:54,07:08
December,10 – 11,04:52,06:07,12:05,03:25,05:55,07:10
December,12 – 14,04:53,06:08,12:06,03:27,05:56,07:11
December,15 – 16,04:55,06:10,12:07,03:28,05:57,07:13
December,17 – 18,04:56,06:11,12:08,03:29,05:58,07:13
December,19 – 20,04:56,06:11,12:09,03:29,05:59,07:14
December,21,04:58,06:13,12:10,03:31,06:00,07:15
December,22 – 25,04:58,06:13,12:11,03:31,06:01,07:16
December,26 – 27,04:59,06:14,12:13,03:32,06:02,07:17
December,28 – 29,05:01,06:16,12:14,03:34,06:03,07:18
December,30 – 31,05:02,06:17,12:15,03:35,06:04,07:19
